RTweet_Fvrt,Life_time(days)
5027,0.251412037
5862,0.1353240741
5024,0.2504166667
5857,0.1349421296
5019,0.2487037037
5853,0.1347453704
5015,0.2481712963
5848,0.1346990741
5843,0.1345023148
5010,0.2481365741
5841,0.1345023148
5008,0.2480671296
5006,0.2475115741
5831,0.1343055556
5003,0.2473611111
5829,0.1342939815
4997,0.2471064815
5825,0.1341319444
5823,0.1340740741
4990,0.2466087963
5821,0.1338888889
4987,0.2460300926
4985,0.2459606481
4980,0.245150463
4976,0.2431944444
4972,0.2427430556
4970,0.2424537037
4967,0.2421296296
4963,0.2411342593
4961,0.2410069444
4958,0.2406481481
6723,0.4598726852
6719,0.4590625
4952,0.2401851852
6717,0.4581134259
4947,0.2398148148
6713,0.4568518519
4945,0.2398032407
6710,0.4558912037
4941,0.2387615741
4938,0.2384837963
4938,0.238275463
6705,0.4544907407
4933,0.2381365741
6699,0.4528009259
6699,0.4528009259
4931,0.2378472222
6693,0.4471180556
4928,0.2376041667
6689,0.4455555556
4925,0.2374768519
6687,0.4455555556
4922,0.2371527778
4921,0.2369212963
6684,0.444849537
6679,0.4442476852
4916,0.2366666667
6676,0.4425925926
4913,0.2359027778
4913,0.2358449074
6671,0.4391435185
6666,0.4370023148
4908,0.2355787037
6658,0.4346064815
4906,0.2353703704
6651,0.4300925926
4902,0.2350231481
4898,0.2345138889
6644,0.4252893519
6642,0.4247337963
4894,0.2344907407
4893,0.2341666667
6623,0.4106018519
6618,0.40875
4889,0.2341435185
4888,0.2336921296
6616,0.4087384259
4884,0.2334375
6611,0.4080092593
4881,0.2331365741
6606,0.4057638889
6603,0.4043634259
4877,0.2330902778
4877,0.2330439815
6601,0.4031134259
4873,0.2326157407
4872,0.2317708333
6591,0.4021759259
4866,0.2314930556
6587,0.4007523148
4864,0.2314930556
6584,0.3995486111
4862,0.2314699074
4860,0.231087963
6575,0.3857638889
6571,0.3857060185
4855,0.2308449074
6567,0.3841203704
4851,0.2305208333
6563,0.3836226852
4849,0.2304398148
4846,0.2300578704
6561,0.3834143519
4844,0.2300347222
6553,0.372349537
6549,0.3699189815
4839,0.2299074074
6545,0.3690625
4837,0.2295833333
6543,0.3663078704
4835,0.2294328704
4835,0.2293518519
6538,0.3601041667
6536,0.3577199074
4830,0.2289583333
6533,0.3561574074
4825,0.2283912037
6524,0.3483564815
4820,0.2275925926
4818,0.2273611111
6519,0.3472453704
6515,0.3468634259
4814,0.2272337963
6513,0.3459953704
4809,0.2266666667
6511,0.3458449074
4807,0.2266435185
